# File generated by...
# program:      TSTool 14.6.0 (2023-02-28)
# user:         steve
# date:         Sat Mar 18 02:36:22 America/Denver 2023
# host:         blue
# directory:    D:\Users\steve\cdss-dev\TSTool\git-repos\owf-tstool-synoptic-plugin\resources\nws-cwa
# command line: TSTool
# -home test/operational/CDSS
# -----------------------------------------------------------------------
# Command file name: "D:\Users\steve\cdss-dev\TSTool\git-repos\owf-tstool-synoptic-plugin\resources\nws-cwa\format-cwa-choices.tstool"
# Commands: 
# # Create the NWS County Warning Area dataset and format choices for the TSTool Synoptic plugin CWA filter choices:
# # - the file is used at runtime to populate the NWS CWA input filter
# # - download the shapefile from:  https://www.weather.gov/gis/CWABounds
# # - the DBF file is distributed with the plugin in the resources/ folder
# WebGet(URI="https://www.weather.gov/source/gis/Shapefiles/WSOM/w_08mr23.zip",LocalFile="downloads/w_08mr23.zip")
# UnzipFile(InputFile="downloads\w_08mr23.zip",OutputFolder="results")
# ReadTableFromDBF(TableID="CWA",InputFile="results/w_08mr23.dbf")
# FormatTableString(TableID="CWA",InputColumns="ST,CITY",Format="%s, %s",OutputColumn="FILTER_CHOICE_TO_SORT")
# FormatTableString(TableID="CWA",InputColumns="CWA,ST,CITY",Format="%s - %s, %s",OutputColumn="FILTER_CHOICE")
# SortTable(TableID="CWA",SortColumns="FILTER_CHOICE_TO_SORT")
# WriteTableToDelimitedFile(TableID="CWA",OutputFile="results/synoptic-nws-cwa.csv")
# CopyFile(InputFile="results/synoptic-nws-cwa.csv",OutputFile="..\..\owf-tstool-synoptic-plugin\src\main\java\org\openwaterfoundation\tstool\plugin\synoptic\resources\synoptic-nws-cwa.csv")
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20220330 on localhost\CDSS
# HydroBase.db_version:  design version: 20220330  last data change: 20220330
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20200720 on localhost\CDSS
# HydroBase.db_version:  design version: 20200720  last data change: 20200125
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase_CO_20220928 on localhost\CDSS
# HydroBase.db_version:  design version: 20220811  last data change: 20220928
# HydroBase table structure for software is at least 2020072020200720
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
"OBJECTID","CWA","WFO","LON","LAT","REGION","FULLSTAID","CITYSTATE","CITY","STATE","ST","FILTER_CHOICE_TO_SORT","FILTER_CHOICE"
0,AFC,AFC,-152.64162209653,60.31171278517,AR,PAFC,Anchorage AK,Anchorage,Alaska,AK,"AK, Anchorage","AFC - AK, Anchorage"
0,AFG,AFG,-153.46775216572,66.38282687117,AR,PAFG,Fairbanks AK,Fairbanks,Alaska,AK,"AK, Fairbanks","AFG - AK, Fairbanks"
0,AJK,AJK,-135.18386785651,57.78168936997,AR,PAJK,Juneau AK,Juneau,Alaska,AK,"AK, Juneau","AJK - AK, Juneau"
12,BMX,BMX,-86.67589094430,33.02692854340,SR,KBMX,Birmingham AL,Birmingham,Alabama,AL,"AL, Birmingham","BMX - AL, Birmingham"
52,HUN,HUN,-86.76761011130,34.66612654720,SR,KHUN,Huntsville AL,Huntsville,Alabama,AL,"AL, Huntsville","HUN - AL, Huntsville"
81,MOB,MOB,-87.62307890260,31.26177080120,SR,KMOB,Mobile AL,Mobile,Alabama,AL,"AL, Mobile","MOB - AL, Mobile"
73,LZK,LZK,-92.42546672340,34.95730716730,SR,KLZK,Little Rock AR,Little Rock,Arkansas,AR,"AR, Little Rock","LZK - AR, Little Rock"
123,PPG,PPG,-170.37220450200,-14.26489780800,PR,PPPG,Pago Pago  AS,Pago Pago,American Samoa,AS,"AS, Pago Pago","PPG - AS, Pago Pago"
37,FGZ,FGZ,-111.06057058100,35.36704279760,WR,KFGZ,Flagstaff AZ,Flagstaff,Arizona,AZ,"AZ, Flagstaff","FGZ - AZ, Flagstaff"
98,PSR,PSR,-113.51561757200,33.31108998340,WR,KPSR,Phoenix AZ,Phoenix,Arizona,AZ,"AZ, Phoenix","PSR - AZ, Phoenix"
116,TWC,TWC,-110.66914357300,32.32789953520,WR,KTWC,Tucson AZ,Tucson,Arizona,AZ,"AZ, Tucson","TWC - AZ, Tucson"
32,EKA,EKA,-123.43334857800,40.26149669560,WR,KEKA,Eureka CA,Eureka,California,CA,"CA, Eureka","EKA - CA, Eureka"
51,HNX,HNX,-119.32793278300,36.34400254620,WR,KHNX,Hanford CA,Hanford,California,CA,"CA, Hanford","HNX - CA, Hanford"
69,LOX,LOX,-119.37286538100,34.71872468550,WR,KLOX,Los Angeles/Oxnard CA,Los Angeles/Oxnard,California,CA,"CA, Los Angeles/Oxnard","LOX - CA, Los Angeles/Oxnard"
111,STO,STO,-121.43625202900,39.24003565820,WR,KSTO,Sacramento CA,Sacramento,California,CA,"CA, Sacramento","STO - CA, Sacramento"
106,SGX,SGX,-116.92964515500,33.68714499460,WR,KSGX,San Diego CA,San Diego,California,CA,"CA, San Diego","SGX - CA, San Diego"
